home.team,name,name,dist1
Dodgers,Dodger Stadium,Yankee Stadium,2799
Dodgers,Dodger Stadium,Oakland Coliseum,366
Dodgers,Dodger Stadium,Citizens Bank Park,2721
Dodgers,Dodger Stadium,PNC Park,2433
Dodgers,Dodger Stadium,Petco Park,124
Dodgers,Dodger Stadium,ATT Park,381
Dodgers,Dodger Stadium,Safeco Field,1136
Dodgers,Dodger Stadium,Busch Stadium,1832
Dodgers,Dodger Stadium,Tropicana Field,2553
Dodgers,Dodger Stadium,Globe Life Park in Arlington,1423
Dodgers,Dodger Stadium,Rogers Centre,2514
Brewers,Miller Park,Angel Stadium of Anaheim,2049
Brewers,Miller Park,Chase Field,1885
Brewers,Miller Park,SunTrust Park,805
Brewers,Miller Park,Oriole Park at Camden Yards,794
Brewers,Miller Park,Fenway Park,1084
Brewers,Miller Park,Wrigley Field,91
Brewers,Miller Park,Guaranteed Rate Field,98
Brewers,Miller Park,Great American Ball Park,392
Brewers,Miller Park,Progressive Field,437
Brewers,Miller Park,Coors Field,1040
Brewers,Miller Park,Comerica Park,384
Brewers,Miller Park,Marlins Park,1479
Brewers,Miller Park,Minute Maid Park,1192
Brewers,Miller Park,Kauffman Stadium,566
Brewers,Miller Park,Dodger Stadium,2056
Brewers,Miller Park,Target Field,334
Brewers,Miller Park,Nationals Park,791
Brewers,Miller Park,Citi Field,895
Brewers,Miller Park,Yankee Stadium,886
Brewers,Miller Park,Oakland Coliseum,2168
Brewers,Miller Park,Citizens Bank Park,854
Brewers,Miller Park,PNC Park,552
Brewers,Miller Park,Petco Park,2117
Brewers,Miller Park,ATT Park,2166
Brewers,Miller Park,Safeco Field,2025
Brewers,Miller Park,Busch Stadium,377
Brewers,Miller Park,Tropicana Field,1288
Brewers,Miller Park,Globe Life Park in Arlington,1045
Brewers,Miller Park,Rogers Centre,603
Twins,Target Field,Angel Stadium of Anaheim,1922
Twins,Target Field,Chase Field,1796
Twins,Target Field,SunTrust Park,1102
Twins,Target Field,Oriole Park at Camden Yards,1117
Twins,Target Field,Fenway Park,1406
Twins,Target Field,Wrigley Field,405
Twins,Target Field,Guaranteed Rate Field,412
Twins,Target Field,Great American Ball Park,703
Twins,Target Field,Progressive Field,760
Twins,Target Field,Coors Field,913
Twins,Target Field,Comerica Park,695
Twins,Target Field,Marlins Park,1776
Twins,Target Field,Minute Maid Park,1231
Twins,Target Field,Kauffman Stadium,439
Twins,Target Field,Dodger Stadium,1930
Twins,Target Field,Miller Park,334
Twins,Target Field,Nationals Park,1109
Twins,Target Field,Citi Field,1213
Twins,Target Field,Yankee Stadium,1204
Twins,Target Field,Oakland Coliseum,2041
Twins,Target Field,Citizens Bank Park,1173
Twins,Target Field,PNC Park,870
Twins,Target Field,Petco Park,1991
Twins,Target Field,ATT Park,2039
Twins,Target Field,Safeco Field,1658
Twins,Target Field,Busch Stadium,562
Twins,Target Field,Tropicana Field,1593
Twins,Target Field,Globe Life Park in Arlington,993
Twins,Target Field,Rogers Centre,925
Nationals,Nationals Park,Angel Stadium of Anaheim,2664
Nationals,Nationals Park,Chase Field,2349
Nationals,Nationals Park,SunTrust Park,639
Nationals,Nationals Park,Oriole Park at Camden Yards,38
Nationals,Nationals Park,Fenway Park,439
Nationals,Nationals Park,Wrigley Field,706
Nationals,Nationals Park,Guaranteed Rate Field,697
Nationals,Nationals Park,Great American Ball Park,502
Nationals,Nationals Park,Progressive Field,372
Nationals,Nationals Park,Coors Field,1657
Nationals,Nationals Park,Comerica Park,524
Nationals,Nationals Park,Marlins Park,1057
Nationals,Nationals Park,Minute Maid Park,1413
Nationals,Nationals Park,Kauffman Stadium,1049
Nationals,Nationals Park,Dodger Stadium,2672
Nationals,Nationals Park,Miller Park,791
Nationals,Nationals Park,Target Field,1109
Nationals,Nationals Park,Citi Field,240
Nationals,Nationals Park,Yankee Stadium,235
Nationals,Nationals Park,Oakland Coliseum,2816
Nationals,Nationals Park,Citizens Bank Park,134
Nationals,Nationals Park,PNC Park,246
Nationals,Nationals Park,Petco Park,2694
Nationals,Nationals Park,ATT Park,2814
Nationals,Nationals Park,Safeco Field,2806
Nationals,Nationals Park,Busch Stadium,826
Nationals,Nationals Park,Tropicana Field,930
Nationals,Nationals Park,Globe Life Park in Arlington,1347
Nationals,Nationals Park,Rogers Centre,492
Mets,Citi Field,Angel Stadium of Anaheim,2800
Mets,Citi Field,Chase Field,2473
Mets,Citi Field,SunTrust Park,893
Mets,Citi Field,Oriole Park at Camden Yards,206
Mets,Citi Field,Fenway Park,204
Mets,Citi Field,Wrigley Field,810
Mets,Citi Field,Guaranteed Rate Field,801
Mets,Citi Field,Great American Ball Park,651
Mets,Citi Field,Progressive Field,477
Mets,Citi Field,Coors Field,1791
Mets,Citi Field,Comerica Park,628
Mets,Citi Field,Marlins Park,1296
Mets,Citi Field,Minute Maid Park,1643
Mets,Citi Field,Kauffman Stadium,1198
Mets,Citi Field,Dodger Stadium,2807
Mets,Citi Field,Miller Park,895
Mets,Citi Field,Target Field,1213
Mets,Citi Field,Nationals Park,240
Mets,Citi Field,Yankee Stadium,9
Mets,Citi Field,Oakland Coliseum,2920
Mets,Citi Field,Citizens Bank Park,109
Mets,Citi Field,PNC Park,381
Mets,Citi Field,Petco Park,2869
Mets,Citi Field,ATT Park,2918
Mets,Citi Field,Safeco Field,2911
Mets,Citi Field,Busch Stadium,962
Mets,Citi Field,Tropicana Field,1167
Mets,Citi Field,Globe Life Park in Arlington,1574
Mets,Citi Field,Rogers Centre,492
Yankees,Yankee Stadium,Angel Stadium of Anaheim,2791
Yankees,Yankee Stadium,Chase Field,2470
Yankees,Yankee Stadium,SunTrust Park,891
Yankees,Yankee Stadium,Oriole Park at Camden Yards,200
Yankees,Yankee Stadium,Fenway Park,204
Yankees,Yankee Stadium,Wrigley Field,802
Yankees,Yankee Stadium,Guaranteed Rate Field,792
Yankees,Yankee Stadium,Great American Ball Park,649
Yankees,Yankee Stadium,Progressive Field,468
Yankees,Yankee Stadium,Coors Field,1783
Yankees,Yankee Stadium,Comerica Park,619
Yankees,Yankee Stadium,Marlins Park,1290
Yankees,Yankee Stadium,Minute Maid Park,1641
Yankees,Yankee Stadium,Kauffman Stadium,1196
Yankees,Yankee Stadium,Dodger Stadium,2799
Yankees,Yankee Stadium,Miller Park,886
Yankees,Yankee Stadium,Target Field,1204
Yankees,Yankee Stadium,Nationals Park,235
Yankees,Yankee Stadium,Citi Field,9
Yankees,Yankee Stadium,Oakland Coliseum,2912
Yankees,Yankee Stadium,Citizens Bank Park,108
Yankees,Yankee Stadium,PNC Park,376
Yankees,Yankee Stadium,Petco Park,2861
Yankees,Yankee Stadium,ATT Park,2910
Yankees,Yankee Stadium,Safeco Field,2902
Yankees,Yankee Stadium,Busch Stadium,963
Yankees,Yankee Stadium,Tropicana Field,1166
Yankees,Yankee Stadium,Globe Life Park in Arlington,1575
Yankees,Yankee Stadium,Rogers Centre,483
Athletics,Oakland Coliseum,Angel Stadium of Anaheim,394
Athletics,Oakland Coliseum,Chase Field,736
Athletics,Oakland Coliseum,SunTrust Park,2464
Athletics,Oakland Coliseum,Oriole Park at Camden Yards,2817
Athletics,Oakland Coliseum,Fenway Park,3107
Athletics,Oakland Coliseum,Wrigley Field,2134
Athletics,Oakland Coliseum,Guaranteed Rate Field,2133
Athletics,Oakland Coliseum,Great American Ball Park,2384
Athletics,Oakland Coliseum,Progressive Field,2460
Athletics,Oakland Coliseum,Coors Field,1265
Athletics,Oakland Coliseum,Comerica Park,2396
Athletics,Oakland Coliseum,Marlins Park,3124
Athletics,Oakland Coliseum,Minute Maid Park,1913
Athletics,Oakland Coliseum,Kauffman Stadium,1813
Athletics,Oakland Coliseum,Dodger Stadium,366
Athletics,Oakland Coliseum,Miller Park,2168
Athletics,Oakland Coliseum,Target Field,2041
Athletics,Oakland Coliseum,Nationals Park,2816
Athletics,Oakland Coliseum,Citi Field,2920
Athletics,Oakland Coliseum,Yankee Stadium,2912
Athletics,Oakland Coliseum,Citizens Bank Park,2883
Athletics,Oakland Coliseum,PNC Park,2581
Athletics,Oakland Coliseum,Petco Park,487
Athletics,Oakland Coliseum,ATT Park,17
Athletics,Oakland Coliseum,Safeco Field,810
Athletics,Oakland Coliseum,Busch Stadium,2056
Athletics,Oakland Coliseum,Tropicana Field,2938
Athletics,Oakland Coliseum,Globe Life Park in Arlington,1722
Athletics,Oakland Coliseum,Rogers Centre,2631
Phillies,Citizens Bank Park,Angel Stadium of Anaheim,2714
Phillies,Citizens Bank Park,Chase Field,2399
Phillies,Citizens Bank Park,SunTrust Park,772
Phillies,Citizens Bank Park,Oriole Park at Camden Yards,100
Phillies,Citizens Bank Park,Fenway Park,310
Phillies,Citizens Bank Park,Wrigley Field,770
Phillies,Citizens Bank Park,Guaranteed Rate Field,761
Phillies,Citizens Bank Park,Great American Ball Park,577
Phillies,Citizens Bank Park,Progressive Field,436
Phillies,Citizens Bank Park,Coors Field,1732
Phillies,Citizens Bank Park,Comerica Park,588
Phillies,Citizens Bank Park,Marlins Park,1190
Phillies,Citizens Bank Park,Minute Maid Park,1545
Phillies,Citizens Bank Park,Kauffman Stadium,1124
Phillies,Citizens Bank Park,Dodger Stadium,2721
Phillies,Citizens Bank Park,Miller Park,854
Phillies,Citizens Bank Park,Target Field,1173
Phillies,Citizens Bank Park,Nationals Park,134
Phillies,Citizens Bank Park,Citi Field,109
Phillies,Citizens Bank Park,Yankee Stadium,108
Phillies,Citizens Bank Park,Oakland Coliseum,2883
Phillies,Citizens Bank Park,PNC Park,310
Phillies,Citizens Bank Park,Petco Park,2742
Phillies,Citizens Bank Park,ATT Park,2878
Phillies,Citizens Bank Park,Safeco Field,2871
Phillies,Citizens Bank Park,Busch Stadium,890
Phillies,Citizens Bank Park,Tropicana Field,1064
Phillies,Citizens Bank Park,Globe Life Park in Arlington,1478
Phillies,Citizens Bank Park,Rogers Centre,484
Pirates,PNC Park,Angel Stadium of Anaheim,2425
Pirates,PNC Park,Chase Field,2110
Pirates,PNC Park,SunTrust Park,685
Pirates,PNC Park,Oriole Park at Camden Yards,247
Pirates,PNC Park,Fenway Park,571
Pirates,PNC Park,Wrigley Field,467
Pirates,PNC Park,Guaranteed Rate Field,458
Pirates,PNC Park,Great American Ball Park,289
Pirates,PNC Park,Progressive Field,134
Pirates,PNC Park,Coors Field,1444
Pirates,PNC Park,Comerica Park,285
Pirates,PNC Park,Marlins Park,1175
Pirates,PNC Park,Minute Maid Park,1414
Pirates,PNC Park,Kauffman Stadium,835
Pirates,PNC Park,Dodger Stadium,2433
Pirates,PNC Park,Miller Park,552
Pirates,PNC Park,Target Field,870
Pirates,PNC Park,Nationals Park,246
Pirates,PNC Park,Citi Field,381
Pirates,PNC Park,Yankee Stadium,376
Pirates,PNC Park,Oakland Coliseum,2581
Pirates,PNC Park,Citizens Bank Park,310
Pirates,PNC Park,Petco Park,2454
Pirates,PNC Park,ATT Park,2575
Pirates,PNC Park,Safeco Field,2568
Pirates,PNC Park,Busch Stadium,602
Pirates,PNC Park,Tropicana Field,1049
Pirates,PNC Park,Globe Life Park in Arlington,1237
Pirates,PNC Park,Rogers Centre,312
Padres,Petco Park,Angel Stadium of Anaheim,95
Padres,Petco Park,Chase Field,356
Padres,Petco Park,SunTrust Park,2145
Padres,Petco Park,Oriole Park at Camden Yards,2679
Padres,Petco Park,Fenway Park,3056
Padres,Petco Park,Wrigley Field,2083
Padres,Petco Park,Guaranteed Rate Field,2083
Padres,Petco Park,Great American Ball Park,2210
Padres,Petco Park,Progressive Field,2410
Padres,Petco Park,Coors Field,1080
Padres,Petco Park,Comerica Park,2345
Padres,Petco Park,Marlins Park,2658
Padres,Petco Park,Minute Maid Park,1472
Padres,Petco Park,Kauffman Stadium,1690
Padres,Petco Park,Dodger Stadium,124
Padres,Petco Park,Miller Park,2117
Padres,Petco Park,Target Field,1991
Padres,Petco Park,Nationals Park,2694
Padres,Petco Park,Citi Field,2869
Padres,Petco Park,Yankee Stadium,2861
Padres,Petco Park,Oakland Coliseum,487
Padres,Petco Park,Citizens Bank Park,2742
Padres,Petco Park,PNC Park,2454
Padres,Petco Park,ATT Park,501
Padres,Petco Park,Safeco Field,1257
Padres,Petco Park,Busch Stadium,1852
Padres,Petco Park,Tropicana Field,2473
Padres,Petco Park,Globe Life Park in Arlington,1343
Padres,Petco Park,Rogers Centre,2575
Giants,ATT Park,Angel Stadium of Anaheim,409
Giants,ATT Park,Chase Field,751
Giants,ATT Park,SunTrust Park,2479
Giants,ATT Park,Oriole Park at Camden Yards,2815
Giants,ATT Park,Fenway Park,3105
Giants,ATT Park,Wrigley Field,2132
Giants,ATT Park,Guaranteed Rate Field,2131
Giants,ATT Park,Great American Ball Park,2382
Giants,ATT Park,Progressive Field,2458
Giants,ATT Park,Coors Field,1263
Giants,ATT Park,Comerica Park,2394
Giants,ATT Park,Marlins Park,3139
Giants,ATT Park,Minute Maid Park,1928
Giants,ATT Park,Kauffman Stadium,1811
Giants,ATT Park,Dodger Stadium,381
Giants,ATT Park,Miller Park,2166
Giants,ATT Park,Target Field,2039
Giants,ATT Park,Nationals Park,2814
Giants,ATT Park,Citi Field,2918
Giants,ATT Park,Yankee Stadium,2910
Giants,ATT Park,Oakland Coliseum,17
Giants,ATT Park,Citizens Bank Park,2878
Giants,ATT Park,PNC Park,2575
Giants,ATT Park,Petco Park,501
Giants,ATT Park,Safeco Field,807
Giants,ATT Park,Busch Stadium,2054
Giants,ATT Park,Tropicana Field,2954
Giants,ATT Park,Globe Life Park in Arlington,1737
Giants,ATT Park,Rogers Centre,2628
Mariners,Safeco Field,Angel Stadium of Anaheim,1165
Mariners,Safeco Field,Chase Field,1507
Mariners,Safeco Field,SunTrust Park,2686
Mariners,Safeco Field,Oriole Park at Camden Yards,2808
Mariners,Safeco Field,Fenway Park,3097
Mariners,Safeco Field,Wrigley Field,2097
Mariners,Safeco Field,Guaranteed Rate Field,2104
Mariners,Safeco Field,Great American Ball Park,2386
Mariners,Safeco Field,Progressive Field,2451
Mariners,Safeco Field,Coors Field,1331
Mariners,Safeco Field,Comerica Park,2387
Mariners,Safeco Field,Marlins Park,3360
Mariners,Safeco Field,Minute Maid Park,2443
Mariners,Safeco Field,Kauffman Stadium,1901
Mariners,Safeco Field,Dodger Stadium,1136
Mariners,Safeco Field,Miller Park,2025
Mariners,Safeco Field,Target Field,1658
Mariners,Safeco Field,Nationals Park,2806
Mariners,Safeco Field,Citi Field,2911
Mariners,Safeco Field,Yankee Stadium,2902
Mariners,Safeco Field,Oakland Coliseum,810
Mariners,Safeco Field,Citizens Bank Park,2871
Mariners,Safeco Field,PNC Park,2568
Mariners,Safeco Field,Petco Park,1257
Mariners,Safeco Field,ATT Park,807
Mariners,Safeco Field,Busch Stadium,2119
Mariners,Safeco Field,Tropicana Field,3149
Mariners,Safeco Field,Globe Life Park in Arlington,2205
Mariners,Safeco Field,Rogers Centre,2616
Cardinals,Busch Stadium,Angel Stadium of Anaheim,1825
Cardinals,Busch Stadium,Chase Field,1510
Cardinals,Busch Stadium,SunTrust Park,543
Cardinals,Busch Stadium,Oriole Park at Camden Yards,828
Cardinals,Busch Stadium,Fenway Park,1177
Cardinals,Busch Stadium,Wrigley Field,302
Cardinals,Busch Stadium,Guaranteed Rate Field,296
Cardinals,Busch Stadium,Great American Ball Park,358
Cardinals,Busch Stadium,Progressive Field,558
Cardinals,Busch Stadium,Coors Field,850
Cardinals,Busch Stadium,Comerica Park,524
Cardinals,Busch Stadium,Marlins Park,1217
Cardinals,Busch Stadium,Minute Maid Park,851
Cardinals,Busch Stadium,Kauffman Stadium,242
Cardinals,Busch Stadium,Dodger Stadium,1832
Cardinals,Busch Stadium,Miller Park,377
Cardinals,Busch Stadium,Target Field,562
Cardinals,Busch Stadium,Nationals Park,826
Cardinals,Busch Stadium,Citi Field,962
Cardinals,Busch Stadium,Yankee Stadium,963
Cardinals,Busch Stadium,Oakland Coliseum,2056
Cardinals,Busch Stadium,Citizens Bank Park,890
Cardinals,Busch Stadium,PNC Park,602
Cardinals,Busch Stadium,Petco Park,1852
Cardinals,Busch Stadium,ATT Park,2054
Cardinals,Busch Stadium,Safeco Field,2119
Cardinals,Busch Stadium,Tropicana Field,1032
Cardinals,Busch Stadium,Globe Life Park in Arlington,668
Cardinals,Busch Stadium,Rogers Centre,754
Rays,Tropicana Field,Angel Stadium of Anaheim,2535
Rays,Tropicana Field,Chase Field,2179
Rays,Tropicana Field,SunTrust Park,491
Rays,Tropicana Field,Oriole Park at Camden Yards,967
Rays,Tropicana Field,Fenway Park,1368
Rays,Tropicana Field,Wrigley Field,1194
Rays,Tropicana Field,Guaranteed Rate Field,1185
Rays,Tropicana Field,Great American Ball Park,939
Rays,Tropicana Field,Progressive Field,1115
Rays,Tropicana Field,Coors Field,1880
Rays,Tropicana Field,Comerica Park,1198
Rays,Tropicana Field,Marlins Park,266
Rays,Tropicana Field,Minute Maid Park,1003
Rays,Tropicana Field,Kauffman Stadium,1272
Rays,Tropicana Field,Dodger Stadium,2553
Rays,Tropicana Field,Miller Park,1288
Rays,Tropicana Field,Target Field,1593
Rays,Tropicana Field,Nationals Park,930
Rays,Tropicana Field,Citi Field,1167
Rays,Tropicana Field,Yankee Stadium,1166
Rays,Tropicana Field,Oakland Coliseum,2938
Rays,Tropicana Field,Citizens Bank Park,1064
Rays,Tropicana Field,PNC Park,1049
Rays,Tropicana Field,Petco Park,2473
Rays,Tropicana Field,ATT Park,2954
Rays,Tropicana Field,Safeco Field,3149
Rays,Tropicana Field,Busch Stadium,1032
Rays,Tropicana Field,Globe Life Park in Arlington,1180
Rays,Tropicana Field,Rogers Centre,1355
Rangers,Globe Life Park in Arlington,Angel Stadium of Anaheim,1405
Rangers,Globe Life Park in Arlington,Chase Field,1048
Rangers,Globe Life Park in Arlington,SunTrust Park,802
Rangers,Globe Life Park in Arlington,Oriole Park at Camden Yards,1379
Rangers,Globe Life Park in Arlington,Fenway Park,1777
Rangers,Globe Life Park in Arlington,Wrigley Field,970
Rangers,Globe Life Park in Arlington,Guaranteed Rate Field,982
Rangers,Globe Life Park in Arlington,Great American Ball Park,948
Rangers,Globe Life Park in Arlington,Progressive Field,1197
Rangers,Globe Life Park in Arlington,Coors Field,881
Rangers,Globe Life Park in Arlington,Comerica Park,1199
Rangers,Globe Life Park in Arlington,Marlins Park,1362
Rangers,Globe Life Park in Arlington,Minute Maid Park,257
Rangers,Globe Life Park in Arlington,Kauffman Stadium,559
Rangers,Globe Life Park in Arlington,Dodger Stadium,1423
Rangers,Globe Life Park in Arlington,Miller Park,1045
Rangers,Globe Life Park in Arlington,Target Field,993
Rangers,Globe Life Park in Arlington,Nationals Park,1347
Rangers,Globe Life Park in Arlington,Citi Field,1574
Rangers,Globe Life Park in Arlington,Yankee Stadium,1575
Rangers,Globe Life Park in Arlington,Oakland Coliseum,1722
Rangers,Globe Life Park in Arlington,Citizens Bank Park,1478
Rangers,Globe Life Park in Arlington,PNC Park,1237
Rangers,Globe Life Park in Arlington,Petco Park,1343
Rangers,Globe Life Park in Arlington,ATT Park,1737
Rangers,Globe Life Park in Arlington,Safeco Field,2205
Rangers,Globe Life Park in Arlington,Busch Stadium,668
Rangers,Globe Life Park in Arlington,Tropicana Field,1180
Rangers,Globe Life Park in Arlington,Rogers Centre,1428
Blue Jays,Rogers Centre,Angel Stadium of Anaheim,2507
Blue Jays,Rogers Centre,Chase Field,2262
Blue Jays,Rogers Centre,SunTrust Park,940
Blue Jays,Rogers Centre,Oriole Park at Camden Yards,466
Blue Jays,Rogers Centre,Fenway Park,547
Blue Jays,Rogers Centre,Wrigley Field,519
Blue Jays,Rogers Centre,Guaranteed Rate Field,509
Blue Jays,Rogers Centre,Great American Ball Park,492
Blue Jays,Rogers Centre,Progressive Field,287
Blue Jays,Rogers Centre,Coors Field,1498
Blue Jays,Rogers Centre,Comerica Park,230
Blue Jays,Rogers Centre,Marlins Park,1481
Blue Jays,Rogers Centre,Minute Maid Park,1543
Blue Jays,Rogers Centre,Kauffman Stadium,987
Blue Jays,Rogers Centre,Dodger Stadium,2514
Blue Jays,Rogers Centre,Miller Park,603
Blue Jays,Rogers Centre,Target Field,925
Blue Jays,Rogers Centre,Nationals Park,492
Blue Jays,Rogers Centre,Citi Field,492
Blue Jays,Rogers Centre,Yankee Stadium,483
Blue Jays,Rogers Centre,Oakland Coliseum,2631
Blue Jays,Rogers Centre,Citizens Bank Park,484
Blue Jays,Rogers Centre,PNC Park,312
Blue Jays,Rogers Centre,Petco Park,2575
Blue Jays,Rogers Centre,ATT Park,2628
Blue Jays,Rogers Centre,Safeco Field,2616
Blue Jays,Rogers Centre,Busch Stadium,754
Blue Jays,Rogers Centre,Tropicana Field,1355
Blue Jays,Rogers Centre,Globe Life Park in Arlington,1428
